"Nuclear production, per person (toe)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Cyprus,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Czech Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.001669168238395,0.01034138154638,0.020008545039397,0.051329558162171,0.089333341844642,0.098642876604808,0.103659754755148,0.105032013810389,0.101208021092052,0.102127683079711,0.105206847882251,0.108095379837679,0.101904871763714,0.107167740360326,0.104340743700361,0.110237994066041,0.111935455406793,0.114082028085859,0.124019441461199,0.157811644836885,0.218111604179058,0.221879718883025,0.208032539597793,0.218305625775337,0.218197651176736,0.219995768141818,0.224092555602105,0.229429509781758,0.230855574071614
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Egypt,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
El Salvador,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048262936991665,0.059084931218578,0.121715647828082,0.126328033254312,0.262649851581863,0.298886787341464,0.313945263107971,0.332484496319926,0.33429419730147,0.33300178080945,0.342152613897502,0.339549336954081,0.330434950828211,0.331354284519527,0.33491524009528,0.328925298386542,0.338543012078766,0.328411417373194,0.323481331080147,0.326746679339693,0.34957594436094,0.364785676875171,0.382683134424432,0.373614508087422,0.377638874138078,0.368849804949222,0.37510383889868,0.373746532450595,0.381543734133025,0.374019258671925,0.380690245693425,0.371314645415181,0.378705319220514,0.365445113066138,0.370252235441187
France,0.000274767490695,0.00050348867222,0.000866820641686,0.000842277630048,0.00116860205979,0.001857082193408,0.002804523708512,0.005058106946355,0.006082757984641,0.008457203666982,0.009673493663684,0.015690495940497,0.024328441824965,0.024384299254688,0.024132452051451,0.029777779418711,0.025609989240496,0.02906180189663,0.049055112318164,0.064047280867512,0.097747290781301,0.167290907179589,0.172129083471751,0.226785927520884,0.299028722481942,0.348564054087929,0.393221985531683,0.408631339086354,0.421818933929169,0.462999831226844,0.476228769867352,0.500212150919783,0.508851673602312,0.551423703846397,0.537105381997039,0.560745221314079,0.588469174368633,0.583579414881772,0.570313462329786,0.57698681153934,0.60455274322842,0.609624178938986,0.62827092983748,0.630155299800466,0.63603784038429,0.636503762838386,0.630672509755833,0.612360864821974,0.608479971697424,0.564193837661715,0.586840000446845,0.602575088181632
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
